model,source,curve,x,y,threshold
LSTM,combined,pr,1.0,0.4394818513021185,3.827986850570529e-14
LSTM,combined,pr,1.0,0.43954116059379217,3.919617180738605e-14
LSTM,combined,pr,1.0,0.43960048589553247,3.987049134856341e-14
LSTM,combined,pr,1.0,0.4396598272138229,4.028211547961111e-14
LSTM,combined,pr,1.0,0.4397191845551505,4.19387323534557e-14
LSTM,combined,pr,1.0,0.43977855792600595,4.206057634885234e-14
LSTM,combined,pr,1.0,0.4398379473328832,4.3461660323169254e-14
LSTM,combined,pr,1.0,0.43989735278227987,4.559845339854873e-14
LSTM,combined,pr,1.0,0.439956774280697,4.620455290615423e-14
LSTM,combined,pr,1.0,0.4400162118346393,4.6236906176607556e-14
LSTM,combined,pr,1.0,0.4400756654506148,4.655281897274731e-14
LSTM,combined,pr,1.0,0.44013513513513514,4.8152101880458154e-14
LSTM,combined,pr,1.0,0.4401946208947155,4.9308291689064906e-14
LSTM,combined,pr,1.0,0.44025412273587455,4.9355806849274084e-14
LSTM,combined,pr,1.0,0.4403136406651345,4.961234263581131e-14
LSTM,combined,pr,1.0,0.4403731746890211,4.968535348773284e-14
LSTM,combined,pr,1.0,0.44043272481406354,4.99664667822676e-14
LSTM,combined,pr,1.0,0.4404922910467947,5.1052071641313757e-14
LSTM,combined,pr,1.0,0.44055187339375085,5.212972794318288e-14
LSTM,combined,pr,1.0,0.44061147186147187,5.266821728093854e-14
LSTM,combined,pr,1.0,0.44067108645650116,5.273033528915838e-14
LSTM,combined,pr,1.0,0.44073071718538565,5.281700031218965e-14
LSTM,combined,pr,1.0,0.44079036405467587,5.328457943973297e-14
LSTM,combined,pr,1.0,0.4408500270709258,5.4228262234400776e-14
LSTM,combined,pr,1.0,0.4409097062406931,5.511397070602671e-14
LSTM,combined,pr,1.0,0.4409694015705389,5.542706796464979e-14
LSTM,combined,pr,1.0,0.44102911306702774,5.546683446745748e-14
LSTM,combined,pr,1.0,0.44108884073672805,5.577704164966453e-14
LSTM,combined,pr,1.0,0.4411485845862116,5.6680151566158854e-14
LSTM,combined,pr,1.0,0.44120834462205366,5.690969749486477e-14
LSTM,combined,pr,1.0,0.4412681208508332,5.79448734003632e-14
LSTM,combined,pr,1.0,0.4413279132791328,5.806114730709869e-14
LSTM,combined,pr,1.0,0.4413877219135384,5.807509963380586e-14
LSTM,combined,pr,1.0,0.44144754676063974,5.861527626119245e-14
LSTM,combined,pr,1.0,0.44150738782703,5.865911191027876e-14
LSTM,combined,pr,1.0,0.44156724511930584,5.970674936449719e-14
LSTM,combined,pr,1.0,0.4416271186440678,6.005487312955513e-14
LSTM,combined,pr,1.0,0.44168700840791975,6.105495476598291e-14
LSTM,combined,pr,1.0,0.44174691441746916,6.11787571015536e-14
LSTM,combined,pr,1.0,0.4418068366793272,6.289508302191604e-14
LSTM,combined,pr,1.0,0.44186677520010853,6.289868121787598e-14
LSTM,combined,pr,1.0,0.44192672998643145,6.407957389535646e-14
LSTM,combined,pr,1.0,0.4419867010449179,6.709093187690779e-14
LSTM,combined,pr,1.0,0.44204668838219324,6.78195292893452e-14
LSTM,combined,pr,1.0,0.44210669200488667,6.853655961985491e-14
LSTM,combined,pr,1.0,0.44216671191963075,6.890172568781161e-14
LSTM,combined,pr,1.0,0.4422267481330618,7.073858778470013e-14
LSTM,combined,pr,1.0,0.4422868006518197,7.213350874729282e-14
LSTM,combined,pr,1.0,0.44234686948254787,7.29932607412831e-14
LSTM,combined,pr,1.0,0.4424069546318935,7.304896840415812e-14
LSTM,combined,pr,1.0,0.4424670561065073,7.321049419906772e-14
LSTM,combined,pr,1.0,0.44252717391304347,7.327838558385605e-14
LSTM,combined,pr,1.0,0.4425873080581601,7.436424116465459e-14
LSTM,combined,pr,1.0,0.4426474585485186,7.509014162418795e-14
LSTM,combined,pr,1.0,0.4427076253907843,7.568427763844643e-14
LSTM,combined,pr,1.0,0.4427678085916259,7.579305699766462e-14
LSTM,combined,pr,1.0,0.44282800815771584,7.733070640000145e-14
LSTM,combined,pr,1.0,0.4428882240957302,7.777164464728772e-14
LSTM,combined,pr,1.0,0.4429484564123487,7.810448116171362e-14
LSTM,combined,pr,1.0,0.4430087051142546,7.915247098163811e-14
LSTM,combined,pr,1.0,0.44306897020813496,7.954263468593417e-14
LSTM,combined,pr,1.0,0.4431292517006803,7.980979565376176e-14
LSTM,combined,pr,1.0,0.44318954959858486,7.981268911830958e-14
LSTM,combined,pr,1.0,0.44324986390854654,7.987147320484903e-14
LSTM,combined,pr,1.0,0.4433101946372669,7.997650529030856e-14
LSTM,combined,pr,1.0,0.44337054179145113,8.030422572573304e-14
LSTM,combined,pr,1.0,0.44343090537780805,8.034099373190745e-14
LSTM,combined,pr,1.0,0.4434912854030501,8.212614616143199e-14
LSTM,combined,pr,1.0,0.4435516818738935,8.22358741975511e-14
LSTM,combined,pr,1.0,0.44361209479705804,8.239963615944146e-14
LSTM,combined,pr,1.0,0.44373297002724793,8.270825430783946e-14
LSTM,combined,pr,1.0,0.4437934323477313,8.360549936820699e-14
LSTM,combined,pr,1.0,0.4438539111474516,8.532083595408704e-14
LSTM,combined,pr,1.0,0.44391440643314706,8.594574298125338e-14
LSTM,combined,pr,1.0,0.44397491821155943,8.806884800420522e-14
LSTM,combined,pr,1.0,0.4440354464894342,8.84449103039954e-14
LSTM,combined,pr,1.0,0.44409599127352056,8.950795698159028e-14
LSTM,combined,pr,1.0,0.4441565525705714,8.951188043820196e-14
LSTM,combined,pr,1.0,0.4442171303873432,9.062853413696267e-14
LSTM,combined,pr,1.0,0.4442777247305961,9.176822035562512e-14
LSTM,combined,pr,1.0,0.4443383356070941,9.182950488342487e-14
LSTM,combined,pr,1.0,0.4443989630236049,9.226262332254209e-14
LSTM,combined,pr,1.0,0.44445960698689957,9.36512152549529e-14
LSTM,combined,pr,1.0,0.44452026750375323,9.53063515152057e-14
LSTM,combined,pr,1.0,0.4445809445809446,9.548375409567864e-14
LSTM,combined,pr,1.0,0.444641638225256,9.602783385088617e-14
LSTM,combined,pr,1.0,0.4447023484434735,9.636746018141726e-14
LSTM,combined,pr,1.0,0.444763075242387,9.735028945077537e-14
LSTM,combined,pr,1.0,0.44482381862878995,9.808163124996189e-14
LSTM,combined,pr,1.0,0.44488457860947955,9.810857367394815e-14
LSTM,combined,pr,1.0,0.44494535519125683,9.927564954999302e-14
LSTM,combined,pr,1.0,0.44500614838092634,9.961498450119025e-14
LSTM,combined,pr,1.0,0.4450669581852965,1.004121780298281e-13
LSTM,combined,pr,1.0,0.44512778461117947,1.0095237498600543e-13
LSTM,combined,pr,1.0,0.4451886276653909,1.015516338555289e-13
LSTM,combined,pr,1.0,0.4452494873547505,1.0199480149353235e-13
LSTM,combined,pr,1.0,0.4453103636860815,1.023026335953553e-13
LSTM,combined,pr,1.0,0.44537125666621086,1.0232039418219332e-13
LSTM,combined,pr,1.0,0.44543216630196936,1.0278279285623124e-13
LSTM,combined,pr,1.0,0.4454930926001915,1.0290618183972366e-13
LSTM,combined,pr,1.0,0.44555403556771545,1.0304818521926495e-13
LSTM,combined,pr,1.0,0.4456149952113832,1.0348071412345089e-13
LSTM,combined,pr,1.0,0.4456759715380405,1.0349768866371387e-13
LSTM,combined,pr,1.0,0.44573696455453676,1.048805953109827e-13
LSTM,combined,pr,1.0,0.44579797426772516,1.0497886468539136e-13
LSTM,combined,pr,1.0,0.4458590006844627,1.0513295691915586e-13
LSTM,combined,pr,1.0,0.4459200438116101,1.051672515891243e-13
LSTM,combined,pr,1.0,0.4459811036560318,1.0636796483757052e-13
LSTM,combined,pr,1.0,0.446042180224596,1.0716869557579611e-13
LSTM,combined,pr,1.0,0.44616438356164384,1.0725212493296887e-13
LSTM,combined,pr,1.0,0.44622551034388275,1.0905502439680428e-13
LSTM,combined,pr,1.0,0.4462866538777747,1.113315846847443e-13
LSTM,combined,pr,1.0,0.4463478141702069,1.115356247573425e-13
LSTM,combined,pr,1.0,0.44640899122807015,1.1243678649805813e-13
LSTM,combined,pr,1.0,0.4464701850582591,1.1289601388074152e-13
LSTM,combined,pr,1.0,0.4465313956676721,1.1488336323917103e-13
LSTM,combined,pr,1.0,0.4465926230632113,1.1775162008648143e-13
LSTM,combined,pr,1.0,0.4466538672517828,1.2000264063699584e-13
LSTM,combined,pr,1.0,0.44671512824029624,1.2072349955642714e-13
LSTM,combined,pr,1.0,0.4467764060356653,1.2227148276072047e-13
LSTM,combined,pr,1.0,0.44683770064480727,1.2504340824500554e-13
LSTM,combined,pr,1.0,0.4468990120746433,1.2636640594598098e-13
LSTM,combined,pr,1.0,0.44696034033209825,1.285585272134751e-13
LSTM,combined,pr,1.0,0.44702168542410103,1.29886254746428e-13
LSTM,combined,pr,1.0,0.4470830473575841,1.3047547796959241e-13
LSTM,combined,pr,1.0,0.4471444261394838,1.320366477828086e-13
LSTM,combined,pr,1.0,0.44720582177674034,1.320464598124696e-13
LSTM,combined,pr,1.0,0.4472672342762977,1.352338244641968e-13
LSTM,combined,pr,1.0,0.4473286636451037,1.3602567152087158e-13
LSTM,combined,pr,1.0,0.44745157301827176,1.362310600699218e-13
LSTM,combined,pr,1.0,0.4475130530365485,1.365486906488786e-13
LSTM,combined,pr,1.0,0.44757454995190327,1.4189775114463454e-13
LSTM,combined,pr,1.0,0.44763606377130294,1.4462606459653138e-13
LSTM,combined,pr,1.0,0.4476975945017182,1.44703056503305e-13
LSTM,combined,pr,1.0,0.44775914215012375,1.4474584183153671e-13
LSTM,combined,pr,1.0,0.4478207067234979,1.4514116904867924e-13
