feature,abs_sms,signed_sms,abs_enron,signed_enron,abs_combined,signed_combined
char_count,0.4134959982769908,0.06569921020205226,1.0895637619849163,-0.28094670357306184,0.8202952806211075,-0.2895293840273032
word_count,0.38103553263285583,-0.07172885052140669,1.2581092371223621,0.3148776220488189,1.0118539863593616,0.28292402883638573
num_digits,0.3761089942245428,0.023914299211118206,0.15098151709174784,-0.05014585402169061,0.013826816443075353,-0.0036415010956639482
has_shortcode,0.05886489950136986,0.005660086490516303,0.16335833499335078,-0.009739169415342903,0.02297029449822775,-0.00031260607645927787
entropy_text,0.03519987877311339,0.007135956461402268,0.05262295161071925,-0.006136420006294665,0.12087648851516898,-0.015283428907916712
punctuation_ratio,0.029853623156541383,-0.0011371022412111768,0.0,0.0,0.04566181492874928,-0.0037307988472379443
ratio_stopwords,0.028024791065564814,0.003380569549092714,0.018671071381077077,-0.0028318163229509846,0.022258118511918078,-0.0013221187480118993
avg_word_len,0.020922633928562927,0.0011450503736426347,0.020681778492738664,0.0008635460032793219,0.024872112270540984,-0.002239311344676446
text,0.012748074731419217,0.0006839132386550367,0.0,0.0,0.0,0.0
lt,0.008282571250713988,-0.0011596309094848802,0.0,0.0,0.0,0.0
num num,0.006945658861612958,0.0008653317537000211,0.0,0.0,0.027889536304641426,-0.000533097598047026
num,0.005505729943406567,0.0012992335978902355,0.0,0.0,0.030029508238454475,-0.0013159099309885498
has_currency,0.00413711489222362,0.0004810598711887917,0.04435420631294695,0.015443665150747587,0.10652694165595707,-0.028066231700925412
has_reply_marker,0.0,0.0,0.06184121822561975,0.009101945491575667,0.06191002125406242,-0.005543519095098703
type,0.0,0.0,0.015793148479285552,-0.002692615050736647,0.018549254345668127,0.0014611567773530102
has_signature_block,0.0,0.0,0.010468641413575248,0.0035607623855698324,0.023923062349025324,0.006213782428318298
